trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",30,0,-116.69098576633729,"{0: 20, 1: 2, 2: 5, 3: 2, 4: 1}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",25,0,-233.31849495136566,"{0: 11, 1: 3, 2: 7, 3: 0, 4: 4}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",20,0,-144.40177278703408,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",20,0,-67.69569005468497,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",25,0,-154.74861618520234,"{0: 10, 1: 7, 2: 5, 3: 2, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",20,0,-183.7008853084877,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 3}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",25,0,-87.24522055369636,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",20,0,-90.47598850848149,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",25,0,-146.23286550740343,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780258}",20,0,-165.57707907258944,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",25,0,-159.0585577570654,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",20,0,-146.92081727265682,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",20,0,-89.66857883400264,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",25,0,-167.37535984295744,"{0: 11, 1: 10, 2: 1, 3: 0, 4: 3}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",20,0,-73.16645823893339,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",25,0,-100.48113032670017,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",25,0,-120.75169337875454,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",30,0,-165.0334185731901,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",20,2,-74.05037039352452,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 0}",1
