trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,5,-20.51350481167296,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-127.99195077451137,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-198.9094936921601,"{0: 8, 1: 1, 2: 8, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-30.654824530319672,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-223.67759437144974,"{0: 16, 1: 1, 2: 7, 3: 4, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,14,-56.16343793942827,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 1}",1
7,False,"{'a': 0.5, 'e': 1.0}",35,0,-266.44088847602757,"{0: 18, 1: 3, 2: 9, 3: 1, 4: 4}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-106.58131133901702,"{0: 19, 1: 6, 2: 3, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-172.1413912655615,"{0: 13, 1: 1, 2: 8, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-288.7902867572233,"{0: 12, 1: 2, 2: 3, 3: 3, 4: 5}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-212.9177344495024,"{0: 9, 1: 3, 2: 3, 3: 1, 4: 4}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,2,-86.10898758640629,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-101.90036470751693,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-64.53323145660218,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-211.9109351502526,"{0: 15, 1: 4, 2: 7, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-113.46331841776643,"{0: 11, 1: 1, 2: 4, 3: 4, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,5,-39.83715636978103,"{0: 10, 1: 2, 2: 2, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-193.00540767792313,"{0: 17, 1: 1, 2: 8, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-135.2971489456262,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-35.333542636196746,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-175.52943128135198,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-138.1730809568805,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-118.94183100725797,"{0: 21, 1: 0, 2: 6, 3: 2, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-96.34437369154838,"{0: 9, 1: 4, 2: 5, 3: 2, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-79.90188013587594,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,1,-99.99641584362173,"{0: 17, 1: 0, 2: 4, 3: 2, 4: 1}",1
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-81.1512788365166,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-139.21853329088665,"{0: 18, 1: 6, 2: 3, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-178.45763662912057,"{0: 13, 1: 5, 2: 3, 3: 1, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-98.09756435045661,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
